,TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
0,psi,Less,Intero,psi,More,3.6829168000258505,26.0,0.846894399728626,-0.5,71.5,71.0,0.0,True,True,0,-23.24542254487094,12.550553475165675,1603380570.7497349,1603380576.3006403,1603380580.5330093,1603380580.5389936,1603380581.6166403,1603380581.64656
1,psi,Less,Intero,psi,Less,2.416484400164336,72.0,1.0150804002769291,-23.5,78.5,55.0,1.0,True,True,1,-10.897009912607174,12.875481325119662,1603380582.1000724,1603380587.6494875,1603380590.6168938,1603380590.6248689,1603380591.8670955,1603380591.9029999
2,psi,Less,Extero,psi,More,2.2325086998753254,8.0,0.911598699633032,-0.5,93.0,92.5,0.0,True,True,2,-23.24542254487094,12.550553475165675,1603380592.3668888,1603380598.032906,1603380600.8173099,1603380600.8272836,1603380601.9668245,1603380602.0067446
3,psi,Less,Extero,psi,Less,2.1327293999493118,100.0,0.945080999750644,-23.5,46.0,22.5,1.0,True,True,3,-10.897009912607174,12.875481325119662,1603380602.4673164,1603380608.260006,1603380610.9337952,1603380610.9457636,1603380612.1169946,1603380612.1628704
4,psi,Less,Intero,psi,More,2.2658224999904637,74.0,0.8415688001550734,-11.5,90.5,79.0,0.0,True,True,4,-19.82800216689568,12.706016683080888,1603380612.6168914,1603380618.1728005,1603380620.9845636,1603380620.999524,1603380622.0672395,1603380622.1131153
5,psi,Less,Intero,psi,Less,2.049005299806595,79.0,0.5055533000268042,-19.5,77.0,57.5,1.0,True,True,5,-14.135329661305358,11.927328809437597,1603380622.568142,1603380628.1252337,1603380630.7183118,1603380630.735267,1603380631.468142,1603380631.5090375
6,psi,Less,Intero,psi,More,2.0990319000557065,34.0,1.155371000058949,-14.5,80.5,66.0,0.0,True,True,6,-18.472791721015106,11.511712070266173,1603380631.968102,1603380637.5332448,1603380640.1862686,1603380640.203223,1603380641.5852835,1603380641.6521358
7,psiCatchTrial,Less,Extero,psiCatchTrial,Less,1.515186899807304,91.0,0.5334597998298705,-30.0,64.5,34.5,1.0,True,True,7,,,1603380642.1181586,1603380647.9060526,1603380649.9700565,1603380649.9905362,1603380650.7519171,1603380650.7977948
8,psi,Less,Intero,psi,Less,3.948665299918503,29.0,0.5318506001494825,-21.5,78.5,57.0,1.0,True,True,8,-15.936191874201,9.943782466227733,1603380651.0858798,1603380656.6508806,1603380661.1528625,1603380661.175801,1603380661.9356015,1603380661.9869368
9,psi,Less,Intero,psi,More,1.9486536001786592,60.0,0.7457738001830876,-13.5,86.5,73.0,0.0,True,True,9,-17.841589638724773,8.498701249083869,1603380662.4519966,1603380668.025027,1603380670.5204768,1603380670.5449178,1603380671.5195055,1603380671.583308
